Identifiant,Nom_Etablissement,Numero_SIRET,Adresse,Code_Postal,Commune,Departement,Region,Coordonnees_X,Coordonnees_Y,Code_APE,Libelle_APE,code_eprtr,libelle_eprtr
068.02726,NOVERGIE,62201274800977,786 avenue de Gasseras,82000,MONTAUBAN,TARN-ET-GARONNE,MIDI-PYRENEES,521760,1891693,0111Z,"Culture de céréales (à l'exception du riz), de légumineuses et de graines oléagineuses",5.(b),Installations destinées à l'incinération des déchets non dangereux dans le cadre de la directive 2000/76/CE du Parlement européen et du Conseil du 4 décembre 2000 sur l'incinération des déchets d'une capacité de 3 tonnes par heure
066.00247,COMURHEX,71200796200046,Route de Moussan,11100,NARBONNE,AUDE,LANGUEDOC-ROUSSILLON,654400,1798598,0111Z,"Culture de céréales (à l'exception du riz), de légumineuses et de graines oléagineuses",5.(a),Installations pour la valorisation ou l'élimination des déchets dangereux recevant 10 tonnes par jour
56144037,GAEC DE LA LANDE GLAMAREC,34135246600013,LA LANDE GLAMAREC,56500,NAIZIN,MORBIHAN,BRETAGNE,214450,2344825,0111Z,"Culture de céréales (à l'exception du riz), de légumineuses et de graines oléagineuses",7.(a).(i),disposant de 40 000 emplacements pour la volaille
29171014,LE DONGE CLAUDE ANDRE,33109966300014,KERMAThEANO,29120,PLOMEUR,FINISTERE,BRETAGNE,104800,2336499,0111Z,"Culture de céréales (à l'exception du riz), de légumineuses et de graines oléagineuses",7.(a).(i),disposant de 40 000 emplacements pour la volaille
18088131,scea DU CORMIER,33265047200019,la tuzerie,18380,ENNORDRES,CHER,CENTRE,603537,2270026,0111Z,"Culture de céréales (à l'exception du riz), de légumineuses et de graines oléagineuses",7.(a).(ii),disposant de 2 000 emplacements pour porcs de production (de plus de 30 kg)
052.01262,ASTRIUM,39334151600036,"Avenue du général NIOX 
 B.P. N° 20011",33165,SAINT-MEDARD-EN-JALLES,GIRONDE,AQUITAINE,359012,1992919,0111Z,"Culture de céréales (à l'exception du riz), de légumineuses et de graines oléagineuses",,
76181040,SCEA du Mont aux Roux,32889807700016,Le Mont aux Roux,76640,CLEVILLE,SEINE-MARITIME,HAUTE-NORMANDIE,475400,2515200,0111Z,"Culture de céréales (à l'exception du riz), de légumineuses et de graines oléagineuses",7.(a).(iii),disposant de 750 emplacements pour truies
54901536,GRIMAULT SCEA,31766666700025,La Jambuère,49510,LA POITEVINIERE,MAINE-ET-LOIRE,PAYS-DE-LA-LOIRE,355200,2252500,0111Z,"Culture de céréales (à l'exception du riz), de légumineuses et de graines oléagineuses",7.(a).(i),disposant de 40 000 emplacements pour la volaille
32285727,EARL LAZIES,40846879100012,Marcade,32320,MONTESQUIOU,GERS,MIDI-PYRENEES,437437,1843889,0111Z,"Culture de céréales (à l'exception du riz), de légumineuses et de graines oléagineuses",7.(a).(i),disposant de 40 000 emplacements pour la volaille
22237130,EARL LONCLE et ROBERT,38488506700015,La Rougerais,22600,PLUDUNO,COTES-D'ARMOR,BRETAGNE,260012,2402437,0111Z,"Culture de céréales (à l'exception du riz), de légumineuses et de graines oléagineuses",7.(a).(ii),disposant de 2 000 emplacements pour porcs de production (de plus de 30 kg)
058.03909,EARL RENAULT LEBERQUER,41342141300019,"la bergerie
 Chemin des longs champs",76430,TANCARVILLE,SEINE-MARITIME,HAUTE-NORMANDIE,463200,2500500,0111Z,"Culture de céréales (à l'exception du riz), de légumineuses et de graines oléagineuses",,
056.00354,LIMAGRAIN,77563335700014,Zone Agroalimentaire,63720,ENNEZAT,PUY-DE-DOME,AUVERGNE,668900,2100100,0111Z,"Culture de céréales (à l'exception du riz), de légumineuses et de graines oléagineuses",,
586.00181,scea de geneston,33048263900029,,86200,MAULAY,VIENNE,POITOU-CHARENTES,438863,2222337,0111Z,"Culture de céréales (à l'exception du riz), de légumineuses et de graines oléagineuses",,
26323939,EARL D'OCTAVEON,41790461200013,1135 CHEMIN DES MOSAÎQUES,26750,SAINT-PAUL-LES-ROMANS,DROME,RHONE-ALPES,820300,2011664,0111Z,"Culture de céréales (à l'exception du riz), de légumineuses et de graines oléagineuses",7.(a).(i),disposant de 40 000 emplacements pour la volaille
18028018,EARL BRULE,39259077400015,,18500,BERRY-BOUY,CHER,CENTRE,596530,2234575,0111Z,"Culture de céréales (à l'exception du riz), de légumineuses et de graines oléagineuses",,
10305050,EARL SAINT LAURENT,81282133800017,,10170,PREMIERFAIT,AUBE,CHAMPAGNE-ARDENNES,724900,2390700,0111Z,"Culture de céréales (à l'exception du riz), de légumineuses et de graines oléagineuses",,
061.02489,TOP SEMENCE,77939432900014,1175 Route De Puygiron,26160,LA BATIE-ROLLAND,DROME,RHONE-ALPES,801105,1953485,0111Z,"Culture de céréales (à l'exception du riz), de légumineuses et de graines oléagineuses",,
02813030,EARL DE LA BREZE,34106450900019,5 RUE DE LA BREZE,02240,VILLERS-LE-SEC,AISNE,PICARDIE,683826,2531752,0111Z,"Culture de céréales (à l'exception du riz), de légumineuses et de graines oléagineuses",,
052.02228,SYNGENTA SEEDS S.A.S. - Nérac,44371683200011,Route de Francescas B.P. N° 37,47600,NERAC,LOT-ET-GARONNE,AQUITAINE,439774,1905653,0111Z,"Culture de céréales (à l'exception du riz), de légumineuses et de graines oléagineuses",,
555.00012,Scea du Bruly,31703163100011,,55170,ANCERVILLE,MEUSE,LORRAINE,797985,2407776,0111Z,"Culture de céréales (à l'exception du riz), de légumineuses et de graines oléagineuses",,
57200049,SCEA DE LA GUYARDIERE,41925560900010,,72430,ASNIERES-SUR-VEGRE,SARTHE,PAYS-DE-LA-LOIRE,407748,2324148,0111Z,"Culture de céréales (à l'exception du riz), de légumineuses et de graines oléagineuses",,
065.08346,COMPOST SUD ESSONNE,43493744700010,Route du chesnay,91870,BOISSY-LE-SEC,ESSONNE,ILE-DE-FRANCE,581600,2386700,0111Z,"Culture de céréales (à l'exception du riz), de légumineuses et de graines oléagineuses",,
256.00012,vamdrilling,39005341100018,77 rue des guerins,58200,COSNE-COURS-SUR-LOIRE,NIEVRE,BOURGOGNE,644366,2268197,0112Z,Culture du riz,,
251.00058,VAMDRILLING,39005341100018,7 RUE DES FRERES LUMIERE,58200,COSNE-COURS-SUR-LOIRE,NIEVRE,BOURGOGNE,644366,2268197,0112Z,Culture du riz,,
79500069,GAEC CHATEAU GAILLARD,38098971500012,Le Colombier,79290,CERSAY,DEUX-SEVRES,POITOU-CHARENTES,395500,2230700,0112Z,Culture du riz,7.(a).(i),disposant de 40 000 emplacements pour la volaille
29210228,AR MANERIOU (GAEC),30371711000017,Quilliguien,29420,PLOUVORN,FINISTERE,BRETAGNE,130011,2416849,0112Z,Culture du riz,7.(a).(ii),disposant de 2 000 emplacements pour porcs de production (de plus de 30 kg)
540.00753,EARL LA BRUYERE,48528711400014,,40410,PISSOS,LANDES,AQUITAINE,351378,1927985,0112Z,Culture du riz,,
53244058,EARL HILBERT,40074976800018,La Fosse Noire,53150,SAINT-OUEN-DES-VALLONS,MAYENNE,PAYS-DE-LA-LOIRE,385412,2356044,0112Z,Culture du riz,7.(a).(ii),disposant de 2 000 emplacements pour porcs de production (de plus de 30 kg)
37144076,SAS LA FENNETRIE,34926041400017,,37500,MARCAY,INDRE-ET-LOIRE,CENTRE,439361,2235482,0112Z,Culture du riz,,
75850152,SARL DELBRI,31813427700017,Brillouet,85210,SAINT-ETIENNE-DE-BRILLOUET,VENDEE,PAYS-DE-LA-LOIRE,344360,2174948,0112Z,Culture du riz,7.(a).(i),disposant de 40 000 emplacements pour la volaille
75200009,EARL BRETAUD Marcel,38318867900013,La Roche au Roy,85250,SAINT-FULGENT,VENDEE,PAYS-DE-LA-LOIRE,332211,2211589,0113Z,"Culture de légumes, de melons, de racines et de tubercules",7.(a).(ii),disposant de 2 000 emplacements pour porcs de production (de plus de 30 kg)
100.00839,BABY,42945782300012,49 Route de Bonnée,45730,SAINT-BENOIT-SUR-LOIRE,LOIRET,CENTRE,597763,2312330,0113Z,"Culture de légumes, de melons, de racines et de tubercules",,
063.03238,SCA CULTURES FRANCE CHAMPIGNON - Centrale de LONGUE,41074282900030,"La Tourte
 BP84",49160,LONGUE-JUMELLES,MAINE-ET-LOIRE,PAYS-DE-LA-LOIRE,415769,2267486,0113Z,"Culture de légumes, de melons, de racines et de tubercules",5.(c),Installations destinées à l'élimination des déchets non dangereux d'une capacité de 50 tonnes par jour
063.02554,VILMORIN,56205086400163,route du Manoir,49250,LA MENITRE,MAINE-ET-LOIRE,PAYS-DE-LA-LOIRE,403225,2269963,0113Z,"Culture de légumes, de melons, de racines et de tubercules",,
072.03884,RENAUD ET FILS,33085253400016,Les Roches,17800,AVY,CHARENTE-MARITIME,POITOU-CHARENTES,377775,2065388,0113Z,"Culture de légumes, de melons, de racines et de tubercules",,
80071116,SARL DU VERT GALANT,38175878800016,"lieu dit ""le vert galant""N°2 RN 25",80630,BEAUVAL,SOMME,PICARDIE,599799,2567813,0113Z,"Culture de légumes, de melons, de racines et de tubercules",7.(a).(ii),disposant de 2 000 emplacements pour porcs de production (de plus de 30 kg)
537.00938,Coopérative Agricole de la Lande,34875019100010,,37330,SAINT-LAURENT-DE-LIN,INDRE-ET-LOIRE,CENTRE,443337,2280562,0113Z,"Culture de légumes, de melons, de racines et de tubercules",,
29229028,EARL COLIN,38151061900012,,29180,QUEMENEVEN,FINISTERE,BRETAGNE,119630,2365793,0113Z,"Culture de légumes, de melons, de racines et de tubercules",,
527.00292,EARL VENT DE PLAINE,53180723800013,13 ROUTE DE GROSSOEUVRE,27220,JUMELLES,EURE,HAUTE-NORMANDIE,517200,2435744,0113Z,"Culture de légumes, de melons, de racines et de tubercules",7.(a).(i),disposant de 40 000 emplacements pour la volaille
75200012,earl ru et boulogne,52112830600011,La Boulaye,85170,SAINT-DENIS-LA-CHEVASSE,VENDEE,PAYS-DE-LA-LOIRE,318155,2209130,0114Z,Culture de la canne à sucre,7.(a).(i),disposant de 40 000 emplacements pour la volaille
222.00017,DISTILLERIE NEISSON,41061451500014,"Domaines THIEUBERT - E.A.R.L.
 Le Coin",97221,Le Carbet,MARTINIQUE,MARTINIQUE,-12011954.1675404,7741647.54920904,0114Z,Culture de la canne à sucre,,
56235120,EARL TREGARO,41822233700010,,56580,ROHAN,MORBIHAN,BRETAGNE,221024,2353336,0114Z,Culture de la canne à sucre,,
56219038,EARL LE CORRE,39750420000015,,56460,SAINT-GUYOMARD,MORBIHAN,BRETAGNE,236800,2320199,0114Z,Culture de la canne à sucre,,
556.02809,GAEC DU LYS,35326085400016,,56930,PLUMELIAU,MORBIHAN,BRETAGNE,203712,2342080,0114Z,Culture de la canne à sucre,,
29278069,MORVAN CATHERINE,38832248900013,LOCH NORMIDOU,29540,SPEZET,FINISTERE,BRETAGNE,150300,2372099,0114Z,Culture de la canne à sucre,7.(a).(i),disposant de 40 000 emplacements pour la volaille
29205104,LE MANACH Léon,40290418900014,,29270,PLOUNEVEZEL,FINISTERE,BRETAGNE,160547,2383210,0114Z,Culture de la canne à sucre,,
585.02999,DRAPEAU GERARD,39010159000011,,85480,SAINT-HILAIRE-LE-VOUHIS,VENDEE,PAYS-DE-LA-LOIRE,334912,2193523,0114Z,Culture de la canne à sucre,,
75850149,EARL CHEVALIER,38329983100016,Les Violettes,85670,SAINT-CHRISTOPHE-DU-LIGNERON,VENDEE,PAYS-DE-LA-LOIRE,287208,2210437,0114Z,Culture de la canne à sucre,7.(a).(i),disposant de 40 000 emplacements pour la volaille
50132035,earl de la forge,43389857400010,la forge,50220,LESSAY,MANCHE,BASSE-NORMANDIE,318224,2475187,0115Z,Culture du tabac,7.(a).(i),disposant de 40 000 emplacements pour la volaille
56245113,EARL MONPAS,40428293100017,Berlèze,56480,SILFIAC,MORBIHAN,BRETAGNE,191782,2364224,0115Z,Culture du tabac,7.(a).(ii),disposant de 2 000 emplacements pour porcs de production (de plus de 30 kg)
56146078,EARL DES ROSES,35400508400018,,56300,NEULLIAC,MORBIHAN,BRETAGNE,204418,2361125,0115Z,Culture du tabac,,
26064533,EARL DAME BLANCHE,40802201000016,Les Perrines,26120,CHABEUIL,DROME,RHONE-ALPES,811981,1992359,0116Z,Culture de plantes à fibres,7.(a).(i),disposant de 40 000 emplacements pour la volaille
051.03361,2C MATERIAUX,49949139700026,,80340,CHUIGNOLLES,SOMME,PICARDIE,627800,2544863,0119Z,Autres cultures non permanentes,,
068.03192,Château du Tariquet,35013206400014,Saint Amand,32800,EAUZE,GERS,MIDI-PYRENEES,420134,1875638,0121Z,Culture de la vigne,,
522.02397,EARL DE KERLOIC,35404317600016,Kerloic,22600,LOUDEAC,COTES-D'ARMOR,BRETAGNE,221611,2365251,0122Z,Culture de fruits tropicaux et subtropicaux,7.(a).(ii),disposant de 2 000 emplacements pour porcs de production (de plus de 30 kg)
54901760,LAC (EARL DU),32697932500023,La Peupleraie,49280,SAINT-CHRISTOPHE-DU-BOIS,MAINE-ET-LOIRE,PAYS-DE-LA-LOIRE,350375,2230351,0126Z,Culture de fruits oléagineux,7.(a).(i),disposant de 40 000 emplacements pour la volaille
75100259,EARL MENGUY,38490406600014,KERIGAN,22320,PLUSSULIEN,COTES-D'ARMOR,BRETAGNE,198837,2378525,0141Z,Élevage de vaches laitières,7.(a).(ii),disposant de 2 000 emplacements pour porcs de production (de plus de 30 kg)
56123245,GAEC RICHARD,38492392600016,,56220,MALANSAC,MORBIHAN,BRETAGNE,252263,2307818,0141Z,Élevage de vaches laitières,,
12068620,LIONEL TAURIAC,40790207100015,,12240,COLOMBIES,AVEYRON,MIDI-PYRENEES,599882,1927063,0141Z,Élevage de vaches laitières,,
032.00382,Methanisation des Chatelets,39995531900013,,74540,GRUFFY,HAUTE-SAVOIE,RHONE-ALPES,889004,2094539,0141Z,Élevage de vaches laitières,,
56131170,EARL DES SALLES DE BOBLAYE,37812044800014,LES SALLES DE BOBLAYE,56370,MESLAN,MORBIHAN,BRETAGNE,169789,2348592,0142Z,Élevage d'autres bovins et de buffles,7.(a).(i),disposant de 40 000 emplacements pour la volaille
522.03424,EARL DU CHENE CROSLET,42470402100015,Le Chêne Croslet,22640,PLENEE-JUGON,COTES-D'ARMOR,BRETAGNE,249033,2384574,0142Z,Élevage d'autres bovins et de buffles,7.(a).(ii),disposant de 2 000 emplacements pour porcs de production (de plus de 30 kg)
57200000,BILLON JEROME,50235590200011,,72290,COURCEBOEUFS,SARTHE,PAYS-DE-LA-LOIRE,447400,2350600,0142Z,Élevage d'autres bovins et de buffles,,
522.01494,ISA (Institut de Sélection Animale),44470819200067,,22150,PLOEUC-SUR-LIE,COTES-D'ARMOR,BRETAGNE,222607,2384152,0142Z,Élevage d'autres bovins et de buffles,,
89284516,SARL DU VAL DES FOURCHES,51116805600014,FERME DU VAL DES FOURCHES,89160,ARGENTEUIL-SUR-ARMANCON,YONNE,BOURGOGNE,732700,2307800,0146Z,Élevage de porcins,7.(a).(ii),disposant de 2 000 emplacements pour porcs de production (de plus de 30 kg)
86276745,GENE +,37809750500051,Chanteloup,86350,USSON-DU-POITOU,VIENNE,POITOU-CHARENTES,460600,2143600,0146Z,Élevage de porcins,7.(a).(iii),disposant de 750 emplacements pour truies
79500013,SCEA MADIPORC,40489960100011,LA GARENNE,79600,IRAIS,DEUX-SEVRES,POITOU-CHARENTES,414800,2211800,0146Z,Élevage de porcins,7.(a).(ii),disposant de 2 000 emplacements pour porcs de production (de plus de 30 kg)
76080070,SCEA CAUX PORC,39101222600018,Hameau Fauque,76640,BERMONVILLE,SEINE-MARITIME,HAUTE-NORMANDIE,476900,2517200,0146Z,Élevage de porcins,7.(a).(iii),disposant de 750 emplacements pour truies
75600372,SCEA ELEVAGE VALLEE CAVET,34031010100019,LA VALLEE CAVET,22240,PLURIEN,COTES-D'ARMOR,BRETAGNE,250600,2413600,0146Z,Élevage de porcins,7.(a).(ii),disposant de 2 000 emplacements pour porcs de production (de plus de 30 kg)
75600332,EARL le PONT BRULE,35352233700016,LE PONT BRULE,22130,CORSEUL,COTES-D'ARMOR,BRETAGNE,267000,2396426,0146Z,Élevage de porcins,7.(a).(ii),disposant de 2 000 emplacements pour porcs de production (de plus de 30 kg)
75600309,SAS LA GARENNE,43411332000015,GOAREM CREIS,29860,PLABENNEC,FINISTERE,BRETAGNE,100699,2410799,0146Z,Élevage de porcins,7.(a).(ii),disposant de 2 000 emplacements pour porcs de production (de plus de 30 kg)
75600296,SCEA LES AJONCS,30226517800012,Roc'Holloc,29800,LA MARTYRE,FINISTERE,BRETAGNE,119849,2403199,0146Z,Élevage de porcins,7.(a).(ii),disposant de 2 000 emplacements pour porcs de production (de plus de 30 kg)
75600170,SA TANGUY,34322725200016,LOCMENVEN,29410,GUICLAN,FINISTERE,BRETAGNE,135274,2413325,0146Z,Élevage de porcins,7.(a).(ii),disposant de 2 000 emplacements pour porcs de production (de plus de 30 kg)
75600153,GAEC ROCH-FILY,31384156100019,Roch-Fily,29400,LAMPAUL-GUIMILIAU,FINISTERE,BRETAGNE,129075,2407336,0146Z,Élevage de porcins,7.(a).(ii),disposant de 2 000 emplacements pour porcs de production (de plus de 30 kg)
75290011,EARL PRIMEL & SCEA BREIGNOU COZ,31980628700029,Primel,29860,BOURG-BLANC,FINISTERE,BRETAGNE,94824,2410962,0146Z,Élevage de porcins,7.(a).(ii),disposant de 2 000 emplacements pour porcs de production (de plus de 30 kg)
56127168,SCEA LE GENDRE,40750684900014,LA CHOUANNAIS,56430,MAURON,MORBIHAN,BRETAGNE,255887,2352811,0146Z,Élevage de porcins,7.(a).(ii),disposant de 2 000 emplacements pour porcs de production (de plus de 30 kg)
38227023,SOGIFRA,32641827400014,Le chancillon,38510,CREYS-MEPIEU,ISERE,RHONE-ALPES,845304,2085797,0146Z,Élevage de porcins,7.(a).(ii),disposant de 2 000 emplacements pour porcs de production (de plus de 30 kg)
35129067,EARL LES PINS,50478056000018,La Génotière,35480,GUIPRY,ILLE-ET-VILAINE,BRETAGNE,287200,2322225,0146Z,Élevage de porcins,7.(a).(ii),disposant de 2 000 emplacements pour porcs de production (de plus de 30 kg)
35124267,EARL RUANLT,39078876800013,La Lamberdais,35390,GRAND-FOUGERAY,ILLE-ET-VILAINE,BRETAGNE,294874,2310581,0146Z,Élevage de porcins,7.(a).(ii),disposant de 2 000 emplacements pour porcs de production (de plus de 30 kg)
29187074,EARL GUILLERM MORIZUR,32237553600016,Langueoguer,29440,PLOUGAR,FINISTERE,BRETAGNE,122299,2415599,0146Z,Élevage de porcins,7.(a).(ii),disposant de 2 000 emplacements pour porcs de production (de plus de 30 kg)
29102009,EARL ROHEL,40483297400012,BEL AIR,29530,LANDELEAU,FINISTERE,BRETAGNE,149705,2375961,0146Z,Élevage de porcins,7.(a).(ii),disposant de 2 000 emplacements pour porcs de production (de plus de 30 kg)
22180118,SCEA FAIRIER,40494721000013,LE BREUIL,22980,PLELAN-LE-PETIT,COTES-D'ARMOR,BRETAGNE,263037,2391456,0146Z,Élevage de porcins,7.(a).(ii),disposant de 2 000 emplacements pour porcs de production (de plus de 30 kg)
22070539,"SARL AUREjavascript:openWindowScroll('/gerep/afficherReferentielCodeApePopup.do?methode=ecriture',520,300,'_blank');GAN MEGRET",38761503200027,11 rue de la Diligence - Langouhedre,22640,PLENEE-JUGON,COTES-D'ARMOR,BRETAGNE,249033,2384574,0146Z,Élevage de porcins,7.(a).(ii),disposant de 2 000 emplacements pour porcs de production (de plus de 30 kg)
10858073,PICHODO Joseph,40906044900017,"102, La Racinauzière",85250,SAINT-ANDRE-GOULE-D'OIE,VENDEE,PAYS-DE-LA-LOIRE,330826,2209708,0146Z,Élevage de porcins,7.(a).(iii),disposant de 750 emplacements pour truies
10075018,SCA PEN AR LAN,31776096500010,"22, Bonne Voisine",10700,CHAMPFLEURY,AUBE,CHAMPAGNE-ARDENNES,723148,2403419,0146Z,Élevage de porcins,7.(a).(iii),disposant de 750 emplacements pour truies
02559061,SA DIANE AGRI,52189625800014,25 RUE DES PONCEAUX PONT A BUCY,02270,NOUVION-ET-CATILLON,AISNE,PICARDIE,682726,2523485,0146Z,Élevage de porcins,7.(a).(ii),disposant de 2 000 emplacements pour porcs de production (de plus de 30 kg)
89330536,SCEA LES TREMBLATS II,44369114200014,Les tremblats,89310,ANNAY-SUR-SEREIN,YONNE,BOURGOGNE,721649,2304600,0146Z,Élevage de porcins,7.(a).(ii),disposant de 2 000 emplacements pour porcs de production (de plus de 30 kg)
75672060,SCEA DE TOUVOIE,41896073800015,Touvoie,72300,PARCE-SUR-SARTHE,SARTHE,PAYS-DE-LA-LOIRE,410130,2319140,0146Z,Élevage de porcins,7.(a).(ii),disposant de 2 000 emplacements pour porcs de production (de plus de 30 kg)
75664010,PEYROUS JEAN / SCEA PEYROUS,38463685800019,NOUSTY,64420,NOUSTY,PYRENEES-ATLANTIQUES,AQUITAINE,392938,1810471,0146Z,Élevage de porcins,7.(a).(ii),disposant de 2 000 emplacements pour porcs de production (de plus de 30 kg)
75664009,COURADES MICHEL / EARL COURADES,39886086600019,NOUSTY,64420,NOUSTY,PYRENEES-ATLANTIQUES,AQUITAINE,392938,1810471,0146Z,Élevage de porcins,7.(a).(ii),disposant de 2 000 emplacements pour porcs de production (de plus de 30 kg)
75664005,SARL ALFA,45232509500019,LOHITZUN OYHERCQ,64120,LOHITZUN-OYHERCQ,PYRENEES-ATLANTIQUES,AQUITAINE,330675,1813768,0146Z,Élevage de porcins,7.(a).(ii),disposant de 2 000 emplacements pour porcs de production (de plus de 30 kg)
75664001,BROUSSET JEAN FRANCOIS / SCEA DOMENYUC,38402867600011,24 chemin de brune,64800,ASSON,PYRENEES-ATLANTIQUES,AQUITAINE,388808,1796277,0146Z,Élevage de porcins,7.(a).(ii),disposant de 2 000 emplacements pour porcs de production (de plus de 30 kg)
75640008,EARL DE PEYROULET,40050510300012,PEYROULET,40320,SAMADET,LANDES,AQUITAINE,371946,1852623,0146Z,Élevage de porcins,7.(a).(ii),disposant de 2 000 emplacements pour porcs de production (de plus de 30 kg)
75640005,SAS ELEVAGE DES TUYAS,38053825600039,Domaine des Tuyas,40120,LUE,LANDES,AQUITAINE,334383,1920003,0146Z,Élevage de porcins,7.(a).(ii),disposant de 2 000 emplacements pour porcs de production (de plus de 30 kg)
75600351,EARL DU CHEF DU BOIS,35091688800018,LE CHEF DU BOIS,22270,PLEDELIAC,COTES-D'ARMOR,BRETAGNE,250589,2393763,0146Z,Élevage de porcins,7.(a).(ii),disposant de 2 000 emplacements pour porcs de production (de plus de 30 kg)
75600305,EARL AVEL VOR,77755913900012,Kervizinic,29840,LANDUNVEZ,FINISTERE,BRETAGNE,78426,2416036,0146Z,Élevage de porcins,7.(a).(ii),disposant de 2 000 emplacements pour porcs de production (de plus de 30 kg)
75600298,EAR§L POULIQUEN,33848198900014,MESCOAT,29800,PLOUDIRY,FINISTERE,BRETAGNE,121199,2403599,0146Z,Élevage de porcins,7.(a).(ii),disposant de 2 000 emplacements pour porcs de production (de plus de 30 kg)
75600274,MERRET Jean-Jacques,35255732600019,Cosquer,29670,TAULE,FINISTERE,BRETAGNE,140299,2418899,0146Z,Élevage de porcins,7.(a).(ii),disposant de 2 000 emplacements pour porcs de production (de plus de 30 kg)
75600272,SAS KERJEAN,41909374500018,Kerjean,29670,TAULE,FINISTERE,BRETAGNE,140299,2418899,0146Z,Élevage de porcins,7.(a).(iii),disposant de 750 emplacements pour truies
75600241,EARL L'AERODROME,34083397900016,Keranfors,29600,MORLAIX,FINISTERE,BRETAGNE,145106,2415911,0146Z,Élevage de porcins,7.(a).(ii),disposant de 2 000 emplacements pour porcs de production (de plus de 30 kg)
75600203,SAS DE TREBEOLIN,63732033400013,Trebeolin,29460,DIRINON,FINISTERE,BRETAGNE,111466,2398248,0146Z,Élevage de porcins,7.(a).(iii),disposant de 750 emplacements pour truies
75600192,SCEA MINGAM,38816180400017,Trémagon,29440,PLOUGAR,FINISTERE,BRETAGNE,122299,2415599,0146Z,Élevage de porcins,7.(a).(ii),disposant de 2 000 emplacements pour porcs de production (de plus de 30 kg)
75600166,EARL LOSSEC,40472476700011,KERRIOU,29400,SAINT-SAUVEUR,FINISTERE,BRETAGNE,131186,2402037,0146Z,Élevage de porcins,7.(a).(ii),disposant de 2 000 emplacements pour porcs de production (de plus de 30 kg)
75600163,SCEA RIOU,39080662800017,Kerjezegou,29400,PLOUNEVENTER,FINISTERE,BRETAGNE,116537,2410711,0146Z,Élevage de porcins,7.(a).(ii),disposant de 2 000 emplacements pour porcs de production (de plus de 30 kg)
75600085,GAEC RANNOU,38196356000010,Kermenguy,29190,GOUEZEC,FINISTERE,BRETAGNE,131223,2371162,0146Z,Élevage de porcins,7.(a).(ii),disposant de 2 000 emplacements pour porcs de production (de plus de 30 kg)
75290105,EARL KOAT PENHOAT,38196296800016,RUE F MIERRAND,29270,PLOUNEVEZEL,FINISTERE,BRETAGNE,160547,2383210,0146Z,Élevage de porcins,7.(a).(ii),disposant de 2 000 emplacements pour porcs de production (de plus de 30 kg)
75290084,GAEC VIGOUROUX,39810014900010,Kernevez,29710,PLOGASTEL-SAINT-GERMAIN,FINISTERE,BRETAGNE,107300,2352199,0146Z,Élevage de porcins,7.(a).(ii),disposant de 2 000 emplacements pour porcs de production (de plus de 30 kg)
75290066,EARL SEAC'H,48025614800010,Kerguillaouet,29350,MOELAN-SUR-MER,FINISTERE,BRETAGNE,153500,2329699,0146Z,Élevage de porcins,7.(a).(ii),disposant de 2 000 emplacements pour porcs de production (de plus de 30 kg)
75200011,GAEC DE LA GROIE,32556146200012,La Coudraie,85210,SAINTE-HERMINE,VENDEE,PAYS-DE-LA-LOIRE,339544,2178311,0146Z,Élevage de porcins,7.(a).(ii),disposant de 2 000 emplacements pour porcs de production (de plus de 30 kg)
75100120,SCEA MARQUET Elevage,32675018900010,Les Forges Aux Geslins,35130,DROUGES,ILLE-ET-VILAINE,BRETAGNE,330700,2328800,0146Z,Élevage de porcins,7.(a).(ii),disposant de 2 000 emplacements pour porcs de production (de plus de 30 kg)
75100118,SCEA LA PETITE FONTENELLE,38774435200015,la petite fontenelle,35220,CHATEAUBOURG,ILLE-ET-VILAINE,BRETAGNE,321400,2352100,0146Z,Élevage de porcins,7.(a).(ii),disposant de 2 000 emplacements pour porcs de production (de plus de 30 kg)
75100108,GAEC EMILY,39222544700011,Kermelennec,29460,DIRINON,FINISTERE,BRETAGNE,111466,2398248,0146Z,Élevage de porcins,7.(a).(ii),disposant de 2 000 emplacements pour porcs de production (de plus de 30 kg)
75100106,SARL LE BAUT,32551756300012,kervriou,29530,PLONEVEZ-DU-FAOU,FINISTERE,BRETAGNE,142688,2379753,0146Z,Élevage de porcins,7.(a).(ii),disposant de 2 000 emplacements pour porcs de production (de plus de 30 kg)
59305516,SCEA des 3 chênes,34268918900013,"2845, Route de Winnezeele",59470,HERZEELE,NORD,NORD-PAS-DE-CALAIS,613725,2654725,0146Z,Élevage de porcins,7.(a).(ii),disposant de 2 000 emplacements pour porcs de production (de plus de 30 kg)
56257023,EARL les Clôtures,37925686000022,Les Clotures,56490,LA TRINITE-PORHOET,MORBIHAN,BRETAGNE,236451,2355513,0146Z,Élevage de porcins,7.(a).(ii),disposant de 2 000 emplacements pour porcs de production (de plus de 30 kg)
56253246,EARL COUE,38523797900013,LA CHESNAIE,56140,TREAL,MORBIHAN,BRETAGNE,258882,2325001,0146Z,Élevage de porcins,7.(a).(ii),disposant de 2 000 emplacements pour porcs de production (de plus de 30 kg)
56137057,SCEA MAHE,49341207600017,Le Procureur,56250,MONTERBLANC,MORBIHAN,BRETAGNE,224000,2316905,0146Z,Élevage de porcins,7.(a).(ii),disposant de 2 000 emplacements pour porcs de production (de plus de 30 kg)
